Re,AoA,CL,CD,CDp,CM,elapsed_s,status
610540.2296585327,2.0,,,,,0.015789031982421875,fail
610540.2296585327,2.5,,,,,0.015537023544311523,fail
610540.2296585327,3.0,,,,,0.01519632339477539,fail
610540.2296585327,3.5,,,,,0.01529693603515625,fail
610540.2296585327,4.0,,,,,0.0148468017578125,fail
610540.2296585327,4.5,,,,,0.05363726615905762,fail
610540.2296585327,5.0,,,,,0.033792972564697266,fail
610540.2296585327,5.5,,,,,0.09148788452148438,fail
610540.2296585327,6.0,,,,,0.020481109619140625,fail
610540.2296585327,6.5,,,,,0.01587200164794922,fail
610540.2296585327,7.0,,,,,0.01612377166748047,fail
610540.2296585327,7.5,,,,,0.02503824234008789,fail
610540.2296585327,8.0,,,,,0.015887737274169922,fail
610540.2296585327,8.5,,,,,0.04173612594604492,fail
610540.2296585327,9.0,,,,,0.06925797462463379,fail
610540.2296585327,9.5,,,,,0.06574010848999023,fail
610540.2296585327,10.0,,,,,0.0767982006072998,fail
610540.2296585327,10.5,,,,,0.06687378883361816,fail
610540.2296585327,11.0,,,,,0.08635902404785156,fail
610540.2296585327,11.5,,,,,0.06244301795959473,fail
1000000.0,-1.0,,,,,0.08310389518737793,fail
1000000.0,-0.5,,,,,0.07411408424377441,fail
1000000.0,0.0,,,,,0.030241012573242188,fail
1000000.0,0.5,,,,,0.08801007270812988,fail
1000000.0,1.0,,,,,0.025465011596679688,fail
1000000.0,1.5,,,,,0.023554086685180664,fail
1000000.0,2.0,,,,,0.019052982330322266,fail
1000000.0,2.5,,,,,0.0342257022857666,fail
1000000.0,3.0,,,,,0.02042222023010254,fail
1000000.0,3.5,,,,,0.02546215057373047,fail
1000000.0,4.0,,,,,0.09200000762939453,fail
1000000.0,4.5,,,,,0.028055191040039062,fail
1000000.0,5.0,,,,,0.08270525932312012,fail
1000000.0,5.5,,,,,0.030199766159057617,fail
1000000.0,6.0,,,,,0.02505207061767578,fail
1000000.0,6.5,,,,,0.09575009346008301,fail
1000000.0,7.0,,,,,0.031382083892822266,fail
1000000.0,7.5,,,,,0.07552099227905273,fail
1000000.0,8.0,,,,,0.08531308174133301,fail
1000000.0,8.5,,,,,0.06757974624633789,fail
1000000.0,9.0,,,,,0.033017873764038086,fail
1000000.0,9.5,,,,,0.09135293960571289,fail
1000000.0,10.0,,,,,0.05610227584838867,fail
1000000.0,10.5,,,,,0.05861091613769531,fail
1000000.0,11.0,,,,,0.059474945068359375,fail
1000000.0,11.5,,,,,0.06221485137939453,fail
