Re,AoA,Cl,Cd,Cm,elapsed_s,status
170997.59466766944,2,0.7009,0.01234,-0.1065,0.017137765884399414,ok
170997.59466766944,3,0.8107,0.01237,-0.1048,0.01751399040222168,ok
170997.59466766944,4,0.9175,0.01259,-0.1031,0.016528844833374023,ok
170997.59466766944,5,1.0231,0.01297,-0.101,0.038787126541137695,ok
170997.59466766944,6,1.1232,0.01374,-0.0982,0.10758233070373535,ok
170997.59466766944,7,1.2113,0.01532,-0.094,0.07451510429382324,ok
170997.59466766944,8,1.274,0.01902,-0.0871,0.02506709098815918,ok
170997.59466766944,9,1.2975,0.02579,-0.0756,0.11580896377563477,ok
170997.59466766944,10,1.3202,0.03253,-0.0652,0.03611278533935547,ok
170997.59466766944,11,1.358,0.0422,-0.0568,0.030727863311767578,ok
170997.59466766944,12,1.3778,0.05389,-0.0491,0.03249382972717285,ok
308077.513879167,0,0.4781,0.00793,-0.1037,0.01519012451171875,ok
308077.513879167,1,0.5905,0.00811,-0.1034,0.019145965576171875,ok
308077.513879167,2,0.7022,0.00833,-0.1031,0.03159594535827637,ok
308077.513879167,3,0.8127,0.00863,-0.1025,0.02231001853942871,ok
308077.513879167,4,0.9215,0.00912,-0.1018,0.015170812606811523,ok
308077.513879167,5,1.027,0.00989,-0.1006,0.0857388973236084,ok
308077.513879167,6,1.1261,0.01114,-0.0985,0.02786421775817871,ok
308077.513879167,7,1.2133,0.01341,-0.0951,0.01637101173400879,ok
308077.513879167,8,1.284,0.01717,-0.09,0.016325950622558594,ok
308077.513879167,9,1.3276,0.02262,-0.0808,0.025360107421875,ok
308077.513879167,10,1.3665,0.0273,-0.0716,0.03140115737915039,ok
308077.513879167,11,1.3709,0.03743,-0.06,0.02442789077758789,ok
308077.513879167,12,1.3972,0.04618,-0.053,0.016873836517333984,ok
555047.3077848112,0,0.4762,0.0058,-0.1019,0.015236854553222656,ok
555047.3077848112,1,0.5903,0.006,-0.1022,0.013359785079956055,ok
555047.3077848112,2,0.7031,0.00632,-0.1023,0.0594179630279541,ok
555047.3077848112,3,0.8148,0.00675,-0.1023,0.017405986785888672,ok
555047.3077848112,4,0.9243,0.00737,-0.102,0.05745816230773926,ok
555047.3077848112,5,1.0302,0.0083,-0.1012,0.025603055953979492,ok
555047.3077848112,6,1.13,0.0098,-0.0998,0.016593217849731445,ok
555047.3077848112,7,1.2192,0.01232,-0.0971,0.014214754104614258,ok
555047.3077848112,8,1.2965,0.01573,-0.0929,0.09346199035644531,ok
555047.3077848112,9,1.36,0.0198,-0.086,0.02194976806640625,ok
555047.3077848112,10,1.4205,0.02274,-0.079,0.056921958923339844,ok
555047.3077848112,11,1.4491,0.0282,-0.0696,0.12219691276550293,ok
555047.3077848112,12,1.4527,0.03704,-0.0604,0.031101226806640625,ok
1000000.0,0,0.4827,0.0053,-0.1033,0.01715087890625,ok
1000000.0,1,0.5912,0.00484,-0.1021,0.01726698875427246,ok
1000000.0,2,0.705,0.00518,-0.1026,0.025687694549560547,ok
1000000.0,3,0.8171,0.00569,-0.1028,0.0163419246673584,ok
1000000.0,4,0.9275,0.00635,-0.1028,0.0705718994140625,ok
1000000.0,5,1.0337,0.00742,-0.1023,0.04913592338562012,ok
1000000.0,6,1.1331,0.00919,-0.101,0.1021878719329834,ok
1000000.0,7,1.224,0.01168,-0.0986,0.02474689483642578,ok
1000000.0,8,1.3127,0.01405,-0.0958,0.03887510299682617,ok
1000000.0,9,1.3985,0.01629,-0.0924,0.025269031524658203,ok
1000000.0,10,1.4644,0.01967,-0.0858,0.02412104606628418,ok
1000000.0,11,1.5096,0.02325,-0.0769,0.01512908935546875,ok
1000000.0,12,1.5353,0.02899,-0.0681,0.06870388984680176,ok
